"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"1","1 BEACH RD",1.29509740789339,103.85406834457,140,"Esplanade",1.2936577245386,103.855081226245,195.937924122608
"2","1 BEDOK STH AVE 1",1.32085208689731,103.933721091441,215,"Tanah Merah",1.32718729074675,103.946348600798,1572.34068401501
"3","1 CHAI CHEE RD",1.32796879176302,103.922716018139,126,"Bedok North",1.33474211664091,103.91797832995,920.064192415446
"4","1 CHANGI VILLAGE RD",1.38854656229022,103.987804503483,31,"Changi Airport",1.35747897447692,103.98788356959,3458.43924900949
"5","1 DELTA AVE",1.2920752508431,103.828584077626,84,"Tiong Bahru",1.28610253615775,103.827445112419,676.85459828026
"6","1 DOVER RD",1.3025299473495,103.783271662459,155,"one-north",1.29968953488969,103.787412789536,558.908485837282
"7","1 EAST COAST RD",1.31176289799415,103.923113122199,36,"Kembangan",1.3210381335934,103.912947930851,1531.63068699976
"8","1 EVERTON PK",1.27549895431693,103.841398475091,80,"Tanjong Pagar",1.27656131737246,103.845725186759,495.837623760903
"9","1 GHIM MOH RD",1.31287975684307,103.786855017635,237,"Buona Vista",1.3072237082044,103.790253514502,734.494655640908
"10","1 HAIG RD",1.31129091152627,103.897703432652,262,"Paya Lebar",1.3172473854035,103.892260753884,898.085123105995
"11","1 HOUGANG AVE 3",1.36413097349222,103.89300132385,282,"Hougang",1.37129226620797,103.892380513029,800.179644752392
"12","1 JLN BT MERAH",1.28645354030174,103.808242400418,216,"Queenstown",1.29455085184931,103.806077155982,933.043022335267
"13","1 KG KAYU RD",1.30355769675629,103.883796413118,87,"Mountbatten",1.30620190525331,103.882528081052,326.446576639587
"14","1 LOR 7 TOA PAYOH",1.33943033543358,103.853442790992,226,"Braddell",1.3404690010277,103.846799083148,748.358006013467
"15","1 LOR LEW LIAN",1.35086712646948,103.875343939672,205,"Serangoon",1.35063361526525,103.872771660431,287.443033229587
"16","1 MARINE TER",1.30482902187779,103.918614976369,118,"Kembangan",1.3210381335934,103.912947930851,1911.43652398655
"17","1 MARSILING DR",1.44067942258288,103.776119757434,290,"Marsiling",1.43252114855026,103.774074641403,936.257842691095
"18","1 PINE CL",1.30787056219408,103.883192164927,90,"Mountbatten",1.30620190525331,103.882528081052,199.916724451054
"19","1 QUEEN'S RD",1.31726629524359,103.806782877524,77,"Farrer Road",1.31743915158967,103.807379214161,69.0996172561394
"20","1 REDHILL CL",1.28425565124035,103.817825118033,35,"Redhill",1.28963453412887,103.81674097205,610.809962251662
"21","1 ROCHOR RD",1.30290658774258,103.853031869482,52,"Rochor",1.30385218527656,103.852769428884,109.240336838881
"22","1 ST. GEORGE'S RD",1.32340263694069,103.86163080083,153,"Boon Keng",1.31933570922514,103.861569454156,452.779797951483
"23","1 TECK WHYE AVE",1.38253882861956,103.751710905678,149,"Choa Chu Kang",1.38536316540225,103.744370779756,875.277758732558
"24","1 TELOK BLANGAH CRES",1.27945660077329,103.817897561986,140,"Redhill",1.28963453412887,103.81674097205,1140.29067971619
"25","1 TG PAGAR PLAZA",1.27568847511494,103.842433449984,137,"Tanjong Pagar",1.27656131737246,103.845725186759,379.009932003513
